color,brand_id
Blue,554
Gold,768
Mustard,783
Maroon,750
Sea Green,962
Burgundy,397
Pink,855
Multi,830
Olive,544
Maroon,444
Blue,767
White,800
Maroon,242
Red,147
Blue,47
Blue,261
Green,451
Navy Blue,239
Yellow,381
Yellow,846
Black,544
Green,903
Pink,676
Black,374
Red,79
Blue,783
Purple,125
White,47
Mustard,46
Red,740
Blue,547
White,931
Cream,722
Pink,272
Navy Blue,660
Mustard,75
Navy Blue,179
Navy Blue,799
Yellow,769
Navy Blue,841
Blue,734
White,353
Grey,832
White,943
Green,264
Black,994
White,47
Silver,945
Yellow,353
Maroon,361
Grey,630
Navy Blue,787
Blue,903
Peach,962
Green,903
Blue,846
White,868
Grey,750
Purple,544
Black,52
Peach,389
Beige,353
Blue,675
Purple,544
Black,813
Black,261
Red,865
Copper,74
Black,604
Pink,389
Pink,356
Black,162
Blue,841
Navy Blue,841
Blue,841
Green,509
Red,793
Black,767
Maroon,52
Black,768
Blue,646
Fuchsia,530
Green,976
Blue,675
Black,925
Mustard,956
Blue,903
Grey,750
Purple,799
Yellow,783
Green,652
Sea Green,95
Blue,50
Beige,506
Black,783
Blue,750
White,133
Navy Blue,618
Purple,135
Orange,397
Green,530
Yellow,675
Orange,38
Green,836
Pink,444
Sea Green,711
Pink,734
Grey,958
Red,776
Green,800
Grey,665
Blue,1020
Teal,389
Red,821
Pink,675
Black,842
Red,931
Black,848
Grey,279
Red,131
Teal,554
Teal,376
Green,133
Off White,7
Beige,760
Teal,374
Black,538
Black,50
Pink,1006
Green,179
Green,95
Pink,846
Fuchsia,675
Black,692
Green,961
Turquoise Blue,353
White,242
Black,731
Grey,95
Blue,365
White,37
Pink,750
Navy Blue,224
Blue,544
Orange,75
Maroon,903
Pink,841
Black,353
Grey,506
Navy Blue,133
Gold,675
Olive,544
Black,444
Green,418
Mustard,131
White,779
Red,552
Pink,239
Mustard,139
Red,799
Purple,389
Yellow,555
Blue,507
Black,734
Grey,353
Black,295
Blue,675
Purple,762
Gold,313
Yellow,555
Black,398
Black,533
Teal,446
Pink,750
Maroon,800
Maroon,66
Black,397
Rust,50
Peach,444
Blue,750
Green,421
Pink,652
Pink,842
Black,675
Turquoise Blue,261
Blue,931
Green,561
Grey,431
Olive,418
Grey,676
White,762
Charcoal,239
Charcoal,776
Red,799
Black,933
Blue,730
Red,951
Green,313
Blue,903
Off White,133
Mustard,675
Assorted,454
Multi,293
Lavender,692
White,563
Pink,604
Rust,239
Olive,239
Black,125
Navy Blue,767
Blue,711
Brown,544
Green,50
Black,583
Rose,675
Peach,133
Green,1014
Green,555
Peach,314
Black,931
Green,135
Grey,903
Fluorescent Green,783
Blue,75
Black,25
White,363
Black,194
Pink,239
Pink,125
Yellow,767
Blue,509
Red,287
Cream,675
White,309
Turquoise Blue,12
Turquoise Blue,561
White,125
White,213
Mustard,731
Maroon,224
Mustard,50
Burgundy,173
Coral,1011
Turquoise Blue,133
Rose,903
Navy Blue,544
White,25
White,323
Peach,841
Navy Blue,189
Green,675
Fuchsia,104
Pink,762
Black,796
Pink,444
Multi,787
White,95
Beige,242
Black,945
Multi,354
Mustard,404
Beige,544
White,75
Teal,77
White,119
Navy Blue,544
Turquoise Blue,675
Black,544
Purple,424
Lavender,848
Green,16
Grey,1002
Blue,131
Pink,750
Yellow,968
Green,397
Blue,931
Green,125
Teal,501
Grey,800
Olive,279
Beige,674
Pink,675
Blue,544
Sea Green,776
Blue,652
Maroon,261
Gold,398
Mustard,561
Green,841
Red,971
Blue,365
Yellow,125
Green,815
Purple,921
Grey,224
Purple,945
Grey,691
Green,583
Beige,353
Yellow,968
Black,1006
Purple,776
Sea Green,675
Maroon,12
Brown,353
Blue,783
Peach,514
Black,903
Burgundy,374
Maroon,242
Green,239
Blue,783
Pink,398
White,750
Fuchsia,10
Beige,595
Pink,958
Mauve,799
Purple,675
Orange,389
Lavender,95
Black,4
Blue,544
Teal,750
Navy Blue,16
Green,179
Black,750
Taupe,444
Black,324
Off White,767
White,931
Blue,726
Black,363
Black,398
Turquoise Blue,675
Pink,427
Black,688
White,692
Pink,273
White,133
Maroon,389
Lavender,312
Olive,783
Blue,783
Teal,845
Purple,842
Blue,353
Rust,832
Black,544
Black,389
Green,675
White,353
Turquoise Blue,762
Blue,750
Beige,452
Red,133
Off White,131
Black,75
Pink,544
Red,1014
Grey,931
Black,931
Brown,604
White,673
Yellow,520
Maroon,75
Beige,800
Fuchsia,675
Blue,652
Blue,931
Pink,561
Yellow,555
Olive,344
Black,887
Yellow,783
Charcoal,903
Blue,365
Lavender,458
Black,551
Mustard,278
Black,832
Mustard,579
Blue,76
Pink,418
White,760
Sea Green,776
Red,675
Maroon,389
Grey Melange,261
Brown,147
Grey,381
Maroon,688
Navy Blue,750
Brown,750
Blue,847
Green,314
Grey,583
Black,427
Purple,706
Blue,133
Green,762
Pink,75
Blue,660
Purple,943
Beige,561
Orange,511
Blue,671
Pink,999
Mauve,750
Pink,125
Blue,162
Coral,95
Black,171
Black,652
Maroon,799
Off White,832
Mustard,843
Red,133
Green,520
Black,313
Olive,353
Orange,611
Purple,156
Brown,147
Blue,579
Red,760
Black,362
Blue,230
White,604
Mustard,663
Green,750
Blue,544
Lavender,841
Burgundy,903
Purple,750
Black,444
Navy Blue,424
Black,776
Pink,832
Black,459
Green,353
Blue,162
Charcoal,75
Black,760
Grey,856
Blue,750
Blue,509
Grey,846
Olive,171
White,507
Blue,615
White,768
Blue,3
Red,242
Maroon,279
Black,272
Maroon,628
Black,913
Red,158
Turquoise Blue,726
Charcoal,171
Pink,779
Black,133
Olive,750
Black,55
Black,544
Orange,149
Navy Blue,799
Yellow,330
Beige,458
Black,542
Orange,813
Turquoise Blue,762
Black,427
Black,499
Black,557
Black,544
Orange,598
Black,921
Red,239
Pink,801
Blue,841
Blue,1014
Orange,583
Black,551
Mustard,542
Pink,427
Black,712
Black,287
White,156
Black,490
Pink,293
Black,196
Black,376
Red,242
Grey,676
Maroon,625
Peach,481
Blue,952
Yellow,542
Navy Blue,427
Blue,700
Blue,309
Black,865
Black,848
Peach,282
Grey,943
White,319
Brown,561
Black,968
Black,750
Blue,365
Multi,330
Coral,962
Red,75
Peach,903
Purple,374
Teal,408
Multi,841
Blue,363
Maroon,943
Green,424
Beige,353
Pink,786
Mustard,698
Black,848
Navy Blue,488
Pink,762
Blue,131
Black,472
Yellow,841
Pink,75
Olive,376
Blue,750
Green,931
Navy Blue,554
Black,958
Turquoise Blue,43
Yellow,427
Grey,418
Blue,964
Pink,156
Purple,555
Off White,783
Navy Blue,729
White,799
Mustard,239
Mustard,850
Black,497
Navy Blue,931
Peach,244
Black,760
Grey Melange,544
Blue,783
Maroon,404
Green,969
Red,949
Lavender,698
Pink,848
Red,292
Peach,750
Off White,263
Black,962
Black,100
Red,75
Black,626
Black,3
Red,249
White,25
Off White,793
Orange,353
Green,894
Black,94
Black,484
Navy Blue,793
Lime Green,903
Black,688
Black,279
Maroon,171
Black,135
Khaki,750
Orange,488
Black,95
Blue,444
Navy Blue,458
Blue,507
Green,387
Rose,762
Teal,799
Blue,514
Beige,502
Turquoise Blue,583
Red,263
Blue,845
Peach,397
Black,50
Olive,750
Red,583
Blue,750
Green,313
Black,171
Mustard,1020
Black,242
Navy Blue,197
Blue,555
White,881
Green,865
Blue,903
Black,131
Purple,374
Off White,554
Off White,544
Black,75
Grey,779
Black,725
Blue,250
Beige,353
Orange,733
Pink,853
Blue,688
Green,179
Grey,287
Green,353
Black,138
Coral,379
White,509
Black,625
Black,750
Black,903
Blue,532
Maroon,583
Mustard,363
Black,847
Red,821
Pink,958
Pink,458
Multi,253
Orange,988
Black,631
Navy Blue,248
Fuchsia,842
Pink,750
White,803
Black,671
Pink,624
Green,75
Grey,750
Blue,533
Black,957
Green,279
Red,845
White,783
White,824
Red,125
Cream,94
Blue,937
Red,787
Cream,389
Multi,757
Navy Blue,239
Tan,750
Pink,239
Black,783
Black,776
Red,151
White,353
Coffee Brown,179
Blue,507
